ENVIRONMENTAL PROTECTION DEPARTMENT HONG KONG SPECIAL ADMINISTRATIVE REGION (CHINA) Hourly AQHI (January 2014)
Note:
1. The EPD has been reporting AQHI for individual stations on an hourly basis since 30.12.2013
2. Empty cells mean that AQHI data are not available for that period.
3. The AQHI information is based on raw data taken directly from EPD's Air Quality Monitoring Network.
"4. In case of station or equipment suspension due to maintenance, the data collection for calculation of AQHI at station will be affected, the data of a most similar station will then be adopted. Such AQHI will be marked with an asterisk (*)."
			
Date,Hour,Central/Western,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,Tap Mun,Causeway Bay,Central,Mong Kok
,11,5,4,5,5,5,5,4,5,4,5,4,4,6,7,5
,12,5,4,6,5,5,6,5,5,5,5,4,5,7,7,6
,13,6*,5,6,5,6,6,6,6,6,6,5,5,8,8,6
,14,6*,5,7,6,7,7,8,8,8,7,6,6*,8,8,7
,15,7*,6,8,7,8,8,9,10,10,8,8,6*,9,9,8
,16,8*,6,8,8,8,9,9,10,10+,8,8,7*,9,10,9
,17,8,6,8,9,8,9,8,9,10+,8,8,6*,8,9,10
,18,8,6,7,9,8,8,7,8,10+,8,8,5*,9,9,9
,19,8,6,7,8,8,7,7,7,10,7,7,4*,9,9,9
,20,8,6,7,8,8,6,7,7,9,6,7,6,9,10,8
,21,7,6,7,8,7,6,7,7,8,6,7,6,9,10,8
,22,7,6,7,8,7,5,6,7,7,6,6,5,9,9,8
,23,7,6,6,8,7,5,6,7,6,6,6,5,9,9,8
,24,7,5,6,7,6,6,6,7,6,5,6,4,8,8,7
2014-01-18,01,6,5,6,6,6,6,6,6,6,5,6,4,8,7,6
,02,6,5,6,6,5,5,5,6,5,5,5,5,7,7,6
,03,6,4,6,5,5,5,6,6,6,5,5,5,5,6,5
,04,6,5,6,5,6*,5*,5*,5,5*,5,5,,5,6,5
,05,6,5,6,5,5,5,6,5,6,5,5,5,5,6,5
,06,5,5,6,5,5,5,6,6,5,5,5,5,5,5,5
,07,5,5,6,5,5,5,6,6,5,5,5,5,5,6,5
,08,5,5,5,5,5,5,6,5,5,5,5,5,5,6,5
,09,5,5,5,5,5,5,5,5,5,5,5,5,6,7,5
,10,5,5,6,5,5,5,5,5,5,5,5,5,6,7,5
,11,5,5,6,5,5,5,6,6,5,5,5,5,6,7,5
,12,5,5,6,5,5,6,6,6,5,5,5,6,6,7,5
,13,5,5,6,6,6,6,6,6,6,5,6,6,7,7,6
,14,6,5,6,6,6,5,6,6,6,6,6,6,7,7,6
,15,6,5,6,6,6,6,7,6,7,6,6,6,8,7,6
,16,6,5,6,6,6,6,6,6,7,6,6,6,8,7,6
,17,6,5,6,6,6,7,6,6,7,6,6,6,7,8,6
,18,6,5,6,6,6,6,6,6,7,6,6,6,8,8,6
,19,6,5,6,6,6,6,6,6,7,6,6,6,8,8,6
,20,6,5,6,6,6,6,6,6,6,6,6,6,8,8,6
,21,6,5,6,6,6,5,6,6,6,6,5,6,7,8,6
,22,6,5,6,6,5,5,6,6,6,6,6,5,7,7,6
,23,6,6,6,6,5,5,6,6,6,6,6,5,6,6,6
,24,6,5,6,6,6,6,5,6,6,6,6,5,7,6,6
2014-01-19,01,6,5,6,6,5,6,5,6,6,5,5,5,6,6,6
,02,6,5,6,6,5,5,6,6,6,5,5,6,6,6,6
,03,6,5,6,6,5,5,6,6,6,5,5,6,5,6,5
,04,6,5,6,6,5*,5*,6*,5,5*,5,5,3*,5,6,5
,05,6,5,6,5,5,5,6,5,,4,5,,5,6,5
,06,6,5,5,5,5,5,5,5,,4,5,,5,6,5
,07,6,5,6,5,5,5,5,5,4,4,5,5,5,6,5
,08,6,5,6,5,5,5,5,5,4,4,5,6,6,6,5
,09,6,5,6,6,5,5,5,5,5,4,5,6,6,6,6
,10,6,5,6,6,6,6,5,5,5,5,6,6,6,7,6
,11,6,5,7,6,6,6,6,6,6,5,6,7,7,7,6
,12,6,6,7,6,6,6,6,6,7,6,6,7,7,7,6
,13,6,6,7,6,6,6,7,6,7,6,7,7,7,7,6
,14,6,6,7,6,6,6,7,7,7,6,7,7,7,7,6
,15,6,6,7,6,6,6,7,7,7,6,7,7,7,7,7
,16,7,6,7,6,6,6,8,7,8,7,7,7,7,7,7
,17,7,6,7,6,6,6,8,8,8,7,7,7,7,7,8
,18,7,6,7,7,6,7,8,7,8,7,7,7,7,7,8
,19,7,6,7,7,7,6,8,7,7,7,7,6,7,7,7
,20,7,6,7,7,7,6,7,7,7,6,7,6,7,7,7
,21,6,6,7,7,7,6,7,7,6,6,6,6,7,7,7
,22,6,6,7,7,7,5,6,7,6,6,6,5,8,7,7
,23,6,6,7,7,6,5,6,7,6,6,6,5,8,7,7
,24,7,6,7,7,6,5,6,7,6,5,6,5,8,8,7
2014-01-20,01,7,6,7,7,6,5,6,6,6,5,6,5,8,8,7
,02,7,6,7,7,6,5,5,6,6,5,5,5,7,7,7
,03,7,5,6,6,6,5,5,6,6,5,5,5,7,7,6
,04,6,5,6,6,6*,4*,5*,6,5*,4,5,3*,6,7,6
,05,6,5,6,6,5,5,5,6,5,4,5,4,6,6,6
,06,6,5,6,6,5,5,5,6,5,4,5,4,5,6,5
,07,5,5,6,6,5,5,5,6,5,4,5,4,6,6,5
,08,5,5,6,6,5,5,5,6,5,5,5,5,6,6,6
,09,6,5,7,6,6,5,6,6,5,5,5,5,8,8,6
,10,6,6,7,6,7,5,6,6,6,6,6,5,8,9,7
,11,7,6,8,6,7,6,7,7,7,6,6,6,9,9,7
,12,7,6,8,6,7,6,7,7,7,6,6,6,9,9,7*
,13,6,6,7,6,6,6,8,7,8,6*,6,7,8,8,7*
,14,6,5,7,6,6,6,8,8*,8,6*,6,7,8,8,7*
,15,6,5,7,6,6,6,8,8,9,7*,7,7,8,8,7
,16,7,6,7,7,7,,8,9,10,7*,7,7,9,9,7
,17,7,6,7,7,7,,8,9,10,7,7,7,9,9,7
,18,7,6,7,7,7,7,8,8,9,7,7,7,9,10,7
,19,7,6,7,7,7,7,7,8,8,7,6,7,9,10,7
,20,6,6,7,6,6,7,7,7,7,7,6,7,9,10,7
,21,6,6,7,6,6,7,7,7,7,7,6,7,9,10,7
,22,6,6,7,6,6,7,7,7,7,6,6,7,9,9,6
,23,7,6,7,6,7,7,7,7,7,6,7,7,8,8,6
,24,7,6,7,7,7,7,7,7,7,6,7,7,8,8,6
2014-01-21,01,7,6,7,7,6,6,7,7,7,6,7,7,8,7,6
,02,6,6,7,6,6,6,7,7,7,6,6,7,7,7,6
,03,6,6,7,,6*,6*,7*,7,7*,6,6,6*,6,7,6
,04,6,6,7,6,6,6,7,7,7,6,6,7,6,7,6
,05,6,5,7,6,6,,7,7,7,5,6,6,6,6,6
,06,6,5,6,6,6,6,6,7,7,6,6,6,6,6,6
,07,6,5,6,6,6,5,6,6,6,6,6,6,6,6,5*
,08,6,5,6,6,6,5,6,6,6,6,6,6,6,6,6
,09,6,5,6,6,6,5,6,6,6,6,5,6,6,7,5
,10,6,5,6,6,6,6,6,6,6,6,6,6,6,8,5
,11,6,5,6,6,6,6,6,6,6,6,6,6,7,8,5
,12,6,5,6,6,6,6,7,6,6,6,6,6,7,8,5
,13,6,5,7,6,6,6,7,7,6,6,6,6,7,8,6
,14,6,5,7,6,6,6,7,7,7,6,6,6,7,8,6
,15,6,6,7,6,6,7,7,7,7,6,6,7,8,8,6
,16,6,6,7,7,6,7,7,7,7,6,7,7,8,9,7
,17,6,6,7,6,7,7,7,7,,6,7,7,8,9,7
,18,6,6,7,6,7,7,7,7,,6,6,7,8,9,7
,19,6,6,7,6,7,6,7,7,,6,6,6,8,10,7
,20,6,5,6,6,7,6,7,7,7,6,6,6,8,10,7
,21,6,5,6,6,6,6,7,7,7,6,6,6,8,10,7
,22,6,5,6,6,6,6,6,7,6,6,6,6,8,8,6
,23,6,5,6,6,6,6,6,6,6,6,6,6,7,7,6
,24,6,5,6,6,6,6,6,6,6,6,6,6,7,7,6
2014-01-22,01,6,5,6,6,6,6,6,6,6,6,6,6,7,6,6
,02,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6
,03,6,5,6*,6*,6*,5*,6*,6,6*,6,6*,6*,6,6,6
,04,6,5,6,6,6,6,6,6,6,6,6,6,5,6,6
,05,6,5,6,6,6,5*,6,6,6,5,6,6,5,6,5
,06,6,5,6,6,5,5,6,6,6,5,6,6,5,6,5
,07,6,5,6,6,5,5,6,6,6,5,6,6,5,6,5
,08,5,5,6,6,5,5,6,6,6,5,5,6,6,7,5
,09,5,5,6,6,5,5,6,6,6,6,5,6,7,7,5
,10,6,5,6,6,6,5,6,6,6,6,6,6,7,8,5
,11,6,5,6,6,6,6,6,6,6,6,6,6,7,8,6
,12,6,5,6,6,6,6,6,6,6,6,6,6,6,7,6
,13,6,5,7,6*,6,6,7,6,7,6,6,7,6,7*,6
,14,6,6,7,6*,6,6,7,7,7,6,6,7,8,7*,6
,15,6,6,7,6*,7,7,7,7,8,7,6,7,9,8*,7
,16,6,6,7,7*,7,7,7,7,8,7,7,7,9,8*,7
,17,7,6,8,7*,7,8,7,8,8*,7,7,7,9,8,8
,18,7,6,8,7*,7,8,7,8,,7,7,8,9,9,8
,19,7,6,8,7,7,7,8,8,,6,7,7,9,9,8
,20,7,7,8,7,8,7,8,8,7,6,7,7,9,9,8
,21,7,7,8,7,7,6,7,7,7,6,7,6,9,9,8
,22,7,6,7,7,7,6,7,7,6,6,6,6,9,9,8
,23,7,6,7,7,7,5,7,7,6,6,6,5,8,8,7
,24,6,6,7,7,6,5,6,7,6,6,6,5,8,8,7
2014-01-23,01,6,6,7,7,6,5,6,7,6,6,6,6,8,7,7
,02,6,5,6,6,6,5,6,7,6,6,5,6,7,7,6
,03,6,5,6,6,6,5,6,6,6,5,5,6,6,6,6
,04,6,5,6,6,5,5,5,6,6,5,5,6,5,6,5
,05,6,5,6,6,5,5,5,5,6,5,5,6,5,6,5
,06,5,4,5,5,5,5,5,5,6,4,4,5,5,5,5
,07,5,4,5,5,5,5,4,5,5,4,4,5,5,5,5
,08,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5
,09,5,4,5,5,5,5,5,5,5,5,5,5,6,6,5
,10,5,4,5,5,5,5,5,5,5,5,5,5,6,6,5
,11,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5
,12,5,5,6,6,5,5,6,5,,5,5,6,6,7,6
,13,6,5,6*,6,6,6,6,6,,6,6,6,6,7,6
,14,6,5,6*,6,6,6,6,6,6,6,6,6,7,7,7
,15,6,5,6,6,6,7,6,7,6*,6,6,6,6,7,8
,16,6,5,6,6,6,6,6,7,6*,6,6,6,6,7,7
,17,6,5,6,6,6*,6,6,6,7*,6,6,6,6,6,7
,18,5,5,6,6,6*,6,6,6,6*,6,5,6,6,6,6
,19,5,5,5,6,6,6,6,6,6,5,5,5,6,6,6
,20,5,5,5,6,5,5,6,6,5,5,5,5,6,6,6
,21,5,5,5,6,5,5,5,6,5,5,5,5,6,6,6
,22,5,5,5,5,5,5,5,6,5,5,5,4,6,6,6
,23,5,5,5,5,5,5,5,5,5,5,5,4,6,6,6
,24,5,5,5,5,5,5,5,5,5,5,5,4,5,6,5
2014-01-24,01,5,4,5,5,5,5,4,5,5,5,5,4,5,6,5
,02,5,4,5,5,5,4,4,5,5,4,4,3,5,5,5
,03,4,4,4,4,4,4,4,5,4,4,4,3,4,5,4
,04,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
,05,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4
,06,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4
,07,4,3,4,4,4,4,3,4,4,3,4,3,4,4,4
,08,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4
,09,4,4,4,4,4,4,4,4,4,4,4,3,4,5,4
,10,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4
,11,4,4,4,4,4,4,4,4,4,4,4,4,4*,5,5
,12,4,4,4,4,4,4,4,4,4,4,4*,4,5*,5,5
,13,4,4,5,5,4,4,,4,4,4,4*,5,5*,5,5
,14,5,4,5,5,4,4,,4,4,4,4,5,5,5,5
,15,5,4,5,5,4,4,,4,4,4,4,5,5,5,5
,16,5,5,5,5,5,5,,4,4,4,4,5,5,5,5
,17,5,5,5,5,5,5,,4,4,4,4,5,5,5,5
,18,5,5,5,5,5,5,4,4,4,4,5,5,5,6,6*
,19,5,5,5,5,5,5,4,4,4,5,5,5,6,6,6*
,20,5,5,5,5,5,5,4,4,4,5,5,5,6,6,6
,21,5,4,5,5,5,5,4,4,4,5,5,4,6,6,6
,22,4,4,5,5,4,5,4,4,4,5,4,4,5,5,5
,23,4,4,4,5,4,4,4,4,4,4,4,3,5,5,5
,24,4,4,4,4,4,4,4,4,4,4,4,3,5,5,4
2014-01-25,01,4,4,4,4,4,4,4,4,4,4,4,3,5,4,4
,02,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4
,03,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4
,04,4,3,4,4,4,4,4,4,4,4,4,2,4,4,3
,05,4,3,4,4,4,3,4,4,3,4,4,2,4,4,3
,06,4,3,4,4,4,3,4,3,3,3,3,2,4,4,3
,07,4,3,4,4,4,4,3,3,3,3,3,2,4,4,3
,08,4,4,4,4,4,4,3,3,3,4,3,2,4,4,4
,09,4,4,4,4,4,4,3,3,3,4,3,2,4,4,4
,10,4,4,4,4,4,4,4,4,4,4,4,3,5,5,5
,11,4,4,4,4,4,4,4,4,4,4,4,3,5,5,5
,12,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5
,13,4,4,4,4,4,4,4,4,5,4,4,4,5,5,5
,14,4,4,4,4,4,4,4,4,5,4,4,4,5,5,5
,15,4,4,4,4,4,4,5,5,5,4,4,4,5,5,6
,16,4,4,5,4,4,4,5,5,6,4,4,5,5,5,6
,17,4,4,5,4,4,4,5,5,6,4,4,5,6,5,6
,18,5,4,5,5,4,4,5,5,6,4,4,5,6,5,6
,19,5,4,5,5,5,4,5,5,6,4,4,5,6,5,6
,20,5,4,5,5,4,4,4,5,5,4,4,5,6,5,5
,21,4,4,5,5,4,4,4,5,4,4,4,4,6,5,5
,22,4,4,5,4,4,4,4,5,4,4,4,4,6,5,5
,23,4,4,4,4,4,4,4,5,4,4,4,3,5,5,5
,24,4,4,4,4,4,4,4,5,4,4,4,3,5,5,4
2014-01-26,01,4,4,4,4,4,4,4,4,4,4,4,3,5,5,4
,02,4,4,4,4,4,3,4,4,4,3,4,3,5,4,4
,03,4,3,4,4,4,4,4,4,3,3,4,3,4,4,4
,04,4,3,4,4,4,3,4,3,3,3,3,3,4,4,3
,05,4,3,4,4,4,3,3,3,3,3,3,2,4,4,3
,06,4,3,4,4,3,3,3,3,3,3,3,2,3,4,3
,07,4,3,4,4,3,3,3,3,3,3,3,2,4,4,4
,08,4,3,4,4,3,3,3,3,3,3,3,2,5,5,4
,09,4,4,4,4,4,3,3,3,3,3,3,2,5,5,4
,10,4,4,4,4,4,4,4,4,4,3,3,3,6,6,4
,11,4,4,4,4,4,4,4,4,4,4,4,3,6,6,4
,12,4,4,4,4,4,5,4,4,5,4,4,4,5,5,4
,13,4,4,4,4,4,5,5,5,5,4,4,5,5,5,4
,14,4,4,4,4,5,5,5,5,6,4,4,5,5,5,5
,15,4,4,5,4,5,5,5,5,7,4,5,5,5,5,
,16,5,5,5,5,5,6,5,6,7,5,5,6,6,5,
,17,5,6,6,5,6,6,5,6,6,5,6,7,7,6,
,18,6,7,7,6,6,6,6,6,6,6,7,8,8,7,8
,19,8,7,8,7,7,7,6,6,7,7,8,8,8,8,8
,20,8,7,8,8,7,7,7,6,7,8,8,8,8,8,9
,21,8,6,8,8,7,7,7,6,8,8,8,8,8,8,8
,22,7,6,7,7,6,6,7,6,7,7,7,7,7,7,7
,23,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6
,24,6,5,6,6,6,6,6,5,6,6,6,6,6,6,6
2014-01-27,01,6,5,6,6,6,6,6,5,6,6,6,6,6,6,6
,02,6,5,6,6,6,6,6,5,6,6,6,6,6,6,6
,03,6,5,6,5,5,6,6,5,6,5,6,6,5,6,5
,04,5,5,6,5,5,6,6,5,6,5,6,6,5,5,5
,05,5,4,5,5,5,6,6,5,6,5,5,6,5,5,5
,06,5,4,5,5,5,5,6,5,5,5,5,6,5,5,5
,07,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5
,08,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
,09,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5
,10,4,4,5,4,5,5,5,5,5,5,4,5,5,5,5
,11,4,4,5,5,5,5,5,5,5,5,5,5,6,5,5
,12,5,4*,5,5,5,5,5,5,5,5,5,5,6,6,6
,13,5,5*,5,5,5,5,5,5,5,,5,5,6,6,6
,14,5,5,5,5,5,6,5,5,6,,5,6,6,6,6
,15,5,5,6,5,5,6,6,6,6,,6,6,6,6,7
,16,5,5,6,5,6,6,6,6,6,5,6,6,6,6,7
,17,5,5,5,5,5,6,6,6,6,5,6,6,6,6,7
,18,5,5,5,5,5,,6,6,6,5,5,5,6,6,7
,19,5,5,5,5,5,,6,6,6,5,5,5,6,6,7
,20,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6
,21,5,4,5,5,5,5,5,5,5,5,5,4,6,6,5
,22,4,4,5,5,5,5,5,5,5,5,4,4,5,5,5
,23,4,4,5,5,4,4,5,5,5,4,4,3,5,5,5
,24,4,4,5,5,4,4,5,5,5,4,4,3,5,5,5
2014-01-28,01,4,4,5,5,4,4,4,5,4,4,4,3,5,5,5
,02,4,4,5,4,4,4,4,4,4,4,4,3,4,5,4
,03,4,4,4,4,4,4,4,4,4,4,4,3,4,5,4
,04,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
,05,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
,06,4,3,4,4,4,4,4,4,3,4,4,3,4,4,4
,07,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4
,08,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
,09,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4
,10,4,4,4,4,4,5,4,4,4,4,4,4,5,5,4
,11,4,4,4,4,5,5,5,5,5,4,4,4,5,5,5
,12,4,4,5,5,5,5,5,5,5,4,4,5,5,5,5
,13,5,4,5,5,5,,5,5,5,5,5,5,5,5,5
,14,5,4,5,5,5,,5,5,5,5,5,5,6,6,6
,15,5,5,5,5,6,6,6,5,5,5,5,5,6,6,7
,16,6,5,5,5,6,6,6,5,5,5,6,5,6,6,7
,17,6,5,5,6,7,6,6,5,6,5,6,5,6,7,7
,18,6,5,5,6,7,6,6,5,6,5,5,5,6,7,7
,19,5,5,5,6,7,6,5,5,6,5,5,5,6,7,7
,20,5,5,5,5,6,6,5,5,5,5,5,4,6,6,6
,21,5,4,5,5,5,5,5,5,5,4,5,4,6,6,6
,22,5,4,5,5,5,5,5,5,5,4,5,3,6,5,6
,23,5,4,5,5,4,4,5,5,4,4,4,3,6,5,5
,24,5,4,5,4,4,4,5,5,4,4,4,3,7,6,5
2014-01-29,01,4,4,5,4,4,4,4,5,4,4,4,3,7,6,5
,02,4,4,5,4,4,4,4,5,4,4,4,3,5,5,4
,03,4,4,5,4,4,4,4,4,4,3,3,3,5,4,4
,04,4,3,4,4,4,4,3,4,4,3,3,3,4,4,4
,05,4,3,4,4,4,4,3,4,4,3,3,3,4,4,4
,06,4,3,4,4,4,4,3,4,4,3,3,3,4,4,4
,07,4,4,4,4,4,4,3,4,4,3,3,3,4,4,4
,08,4,4,4,4,4,4,3,4,4,3,3,3,5,5,5
,09,4,4,5,5,4,4,4,4,4,4,3,3,6,6,5
,10,4,4,5,5,5,4,4,5,4,4,4,3,6,6,6
,11,4,4,5,5,5,5,5,5,5,4,4,3,5,6,6
,12,4,4,5,5,5,5,5,5,5,5,4,4,5,5,5
,13,4,4,4,4,5,5,5,5,5,5,4,5,5,5,5
,14,4,4,4,4,5,5,5,5,5,4,4,5,5,,5
,15,4,4,5,4,5,5,,4,5,4,4,5,5,,6
,16,4,4,5,5,5,5,,4,5,4,5,5,5,5,6
,17,5,4,5,5,5,5,,5,5,4,5,5,6,5,6
,18,5,4,5,5,5,5,5,5,5,4,5,5,6,5,6
,19,5,4,5,5,5,5,5,5,5,4,4,5,6,5,6
,20,4,4,5,5,4,5,5,5,5,4,4,4,6,5,6
,21,5,4,5,5,4,4,5,5,4,4,4,4,6,5,6
,22,5,4,5,5,4,4,4,5,4,4,4,3,6,5,6
,23,5,4,5,5,4,4,4,5,4,4,4,3,7,5,5
,24,5,4,5,5,4,4,4,5,4,4,4,3,8,5,6
2014-01-30,01,5,4,5,5,4,4,4,5,4,4,4,3,8,6,6
,02,4,4,5,5,4,5,3,5,4,4,4,3,7,5,6
,03,4,4,5,5,4,5,3,4,4,4,4,3,6,5,5
,04,4,4,4,4,4,5,3,4,4,4,3,3,5,5,4
,05,4,3,4,4,4,5,3,4,4,4,3,3,5,4,4
,06,4,3,4,4,4,5,3,4,4,4,3,3,5,4,4
,07,4,3,4,4,4,5,3,4,4,3,3,2,5,4,4
,08,4,3,4,4,4,5,3,4,4,4,3,2,6,5,5
,09,4,4,4,4,4,5,4,4,4,4,4,3,6,6,5
,10,4,4,4,4,5,5,4,5,4,4,4,3,6,6,5
,11,4,4,4,4,5,5,4,5,5,4,4,3,6,6,5
,12,5,4,4,4,5,6,5,5,5,4,4,4,6,6,5
,13,5,4,5,4,5,6,5,5,5,4,,4,6,6,5
,14,5,4,5,4,5,5,6,5,5,5,,5,7,7,6
,15,5,5,5,4,5,5,6,5,6,5,5,5,7,7,6
,16,5,5,6,5,6,5,6,5,5,5,5,5,7,8,6
,17,5,5,6,5,6,5,6,5,5,5,5,5,8,8,6
,18,5,5,6,5,6,6,6,5,5,5,5,5,8,8,6
,19,5,5,6,5,6,6,5,5,5,5,5,5,8,8,7
,20,5,5,6,6,6,5,5,5,5,5,5,5,8,8,8
,21,5,5,6,6,6,5,5,6,4,5,5,4,8,8,8
,22,5,5,7,6,5,4,5,6,4,4,5,4,8,7,8
,23,5,5,7,6,5,4,4,5,4,4,4,3,8,7,8
,24,5,5,7,6,4,4,4,5,4,4,4,3,8,7,8
2014-01-31,01,5,5,7,6,4,4,4,5,4,4,4,3,8,8,7
,02,6,5,6,6,4,4,4,5,4,4,4,3,8,7,7
,03,5,5,6,6,4,4,4,5,4,4,3,3,8,6,6
,04,5,5,6,5,4,4,4,4,4,4,3,3,7,5,6
,05,4,5,5,5,4,4,4,4,3,3,3,3,6,5,6
,06,4,5,5,5,4,4,3,4,3,3,3,3,6,5,5
,07,4,4,5,5,4,4,3,4,3,3,3,3,6,5,5
,08,4,4,5,5,4,4,3,4,3,3,3,3,6,5,6
,09,5,4,5,5,4,4,3,4,4,3,3,3,8,6,6
,10,5,4,5,5,4,5,3,4,4,4,4,3,8,6,6
,11,6,5,5,5,5,5,4,5,5,4,4,3,8,6,6
,12,6,5,5,5,5,6,5,5,6,5,5,4,8,7,6
,13,5,5,5,5,6,6,5,6,6,5,5,5,7,7,6
,14,5,5,5,5,6,6,5,6,6,5,5,5,6,6,6
,15,5,5,6,5,6,6,5,6,6,5,5,6,5,6,6
,16,5,5,6,5,6,6,5,6,6,5,5,6,6,6,6
,17,5,5,6,5,6,6,5,6,6,5,5,6,6,6,6
,18,5,5,5,5,5,6,5,5,6,5,5,6,6,6,6
,19,5,5,5,5,5,5,5,5,5,5,5,6,7,5,6
,20,5,5,5,5,5,5,5,5,5,5,4,5,6,5,6
,21,5,5,5,5,4,5,4,4,5,4,4,5,6,5,5
,22,5,5,5,5,4,4,4,4,4,4,4,5,5,5,6
,23,5,5,5,5,4,4,4,4,4,4,4,4,6,5,6
,24,5,4,5,5,4,4,4,4,4,4,4,4,6,5,5
